ID,Lon,Lat,Canopy_cover,Treecover_Gini
1,-67.8374863,-9.9681703,0.208657,0.165021
2,-36.6573523,-9.7489711,0.104198,0.254339
3,-35.7474478,-9.6014739,0.157973,0.318526
4,-36.6391408,-9.4151355,0.158528,0.241186
5,-60.0071168,-3.0461334,0.259129,0.270039
6,-51.0761657,0.0482811,0.167043,0.214891
7,-51.404867,0.7032972,0.186655,0.141823
8,-51.1711742,-0.0357653,0.185278,0.236797
9,-38.2555841,-12.8279728,0.230001,0.198188
10,-38.4222351,-12.1352106,0.157992,0.207893
11,-44.9908765,-12.1416137,0.172986,0.169013
12,-43.4053637,-13.2612496,0.200112,0.176746
13,-41.6691618,-14.205029,0.136177,0.190307
14,-42.4871819,-14.0660111,0.244852,0.138172
15,-38.3280413,-12.7123661,0.194154,0.188741
16,-38.5371195,-12.6703749,0.197798,0.176901
17,-40.974357,-9.1763416,0.081161,0.150714
18,-39.1067965,-12.6669099,0.172393,0.191849
19,-38.3058889,-12.609399,0.271786,0.145272
20,-38.9498551,-12.2559523,0.136291,0.221697
21,-42.7750339,-14.219994,0.1081,0.225539
22,-39.0448509,-14.8084248,0.237149,0.272018
23,-41.857131,-11.3078973,0.102227,0.225942
24,-40.30333,-12.5303503,0.12492,0.183818
25,-39.275604,-14.7922937,0.227983,0.212198
26,-40.5219783,-11.1838652,0.172741,0.339027
27,-40.0890322,-13.8593117,0.153501,0.175241
28,-45.7849418,-12.082279,0.067473,0.262798
29,-43.1806214,-12.6947556,0.114272,0.204207
30,-38.2218872,-9.4170156,0.125839,0.239173
31,-40.5071832,-9.4096031,0.091675,0.223702
32,-42.0845555,-9.6175994,0.100906,0.196478
33,-38.5405688,-10.8345815,0.14874,0.151621
34,-38.4243366,-12.9152342,0.245034,0.254235
35,-44.1986538,-13.3971295,0.165686,0.166727
36,-39.2599373,-12.9698866,0.137845,0.173877
37,-39.2530172,-12.4350293,0.17581,0.199544
38,-40.1870133,-10.4564231,0.10144,0.175442
39,-40.8479016,-14.8685914,0.127256,0.237861
40,-39.7316171,-5.1259347,0.100161,0.190828
41,-39.3176638,-4.3559897,0.14854,0.194366
42,-38.2429107,-4.1293651,0.22064,0.165084
43,-40.6644009,-5.1762524,0.092481,0.24079
44,-39.4029687,-7.2440608,0.165127,0.238735
45,-38.5697988,-3.7945179,0.241077,0.25902
46,-38.4953605,-4.1047045,0.223622,0.164108
47,-38.8577212,-6.4033932,0.098222,0.176916
48,-39.3024851,-6.3667863,0.123463,0.194987
49,-39.5855038,-3.4923739,0.230203,0.173736
50,-39.3114169,-7.2435431,0.152639,0.254853
51,-38.0934875,-5.1460611,0.172094,0.183858
52,-38.4626319,-4.1787539,0.235927,0.172373
53,-39.2918368,-5.1899719,0.13141,0.260293
54,-40.3520013,-3.6854001,0.096558,0.257972
55,-40.2913673,-5.9991742,0.167815,0.226965
56,-40.9961848,-3.7278568,0.110062,0.176095
57,-41.1400907,-20.8436965,0.219914,0.191353
58,-40.6443353,-19.5330902,0.213069,0.246428
59,-40.4966046,-20.6597273,0.238076,0.243451
60,-40.0555877,-19.3703086,0.135177,0.225259
61,-39.8634396,-18.7216965,0.174592,0.188505
62,-40.2449678,-20.172567,0.205629,0.250737
63,-40.3537045,-20.3439314,0.227147,0.270583
64,-48.947403,-16.3228485,0.139278,0.25294
65,-47.9583335,-15.8612561,0.197807,0.342414
66,-48.61324,-17.7466396,0.175004,0.235715
67,-47.9425322,-18.1690413,0.088597,0.348816
68,-47.3250152,-15.5480502,0.117143,0.281391
69,-49.1222025,-15.3200881,0.215526,0.213914
70,-49.2900314,-16.7084021,0.209226,0.252805
71,-49.2287801,-18.4115159,0.120734,0.202701
72,-51.7180954,-17.8792302,0.151553,0.227108
73,-47.9378101,-16.1979622,0.188727,0.251213
74,-52.5533487,-17.5616307,0.1843,0.223245
75,-47.6068322,-15.4525075,0.095566,0.177723
76,-47.486047,-4.9455013,0.160215,0.207691
77,-44.7882383,-4.2246886,0.17136,0.243675
78,-46.0484017,-7.5201708,0.188422,0.251017
79,-43.3487235,-4.8611412,0.281402,0.220254
80,-43.3495148,-3.7295748,0.256429,0.218294
81,-43.8858171,-4.462115,0.19707,0.246394
82,-47.4668048,-5.5192044,0.210496,0.29948
83,-45.1298122,-4.5659986,0.170048,0.214921
84,-45.0932081,-2.524934,0.185177,0.149091
85,-47.3906274,-6.3480548,0.202707,0.225518
86,-45.3746577,-3.6567947,0.168598,0.165689
87,-44.2297116,-2.5414181,0.235346,0.267661
88,-44.6064596,-4.5674183,0.20939,0.209094
89,-45.9551735,-21.4192548,0.115731,0.255519
90,-48.192506,-18.6485027,0.148325,0.214882
91,-46.937082,-19.5900856,0.148226,0.275533
92,-45.5430467,-20.2874311,0.129162,0.269426
93,-43.7696023,-21.2172045,0.177536,0.234769
94,-44.0166911,-19.9113067,0.19299,0.230781
95,-45.2725486,-20.89304,0.182722,0.172647
96,-43.7856071,-20.6693334,0.161085,0.247499
97,-44.8887782,-20.1480013,0.188026,0.218756
98,-41.9664846,-18.8743414,0.224565,0.184192
99,-42.5509755,-19.4596641,0.197121,0.211759
100,-44.5822714,-20.079012,0.13331,0.229796
101,-49.4603996,-18.981529,0.165454,0.1999
102,-44.3713425,-15.478727,0.221606,0.148357
103,-43.366925,-21.7484191,0.216235,0.239455
104,-45.5387257,-20.0243269,0.10186,0.273191
105,-44.9989714,-21.2411159,0.183055,0.22697
106,-43.8792457,-16.7246347,0.205785,0.187852
107,-44.9886636,-19.87183,0.137064,0.201876
108,-46.8713947,-17.2232416,0.128854,0.281727
109,-46.6103735,-20.7257633,0.109196,0.307405
110,-46.5101065,-18.5951315,0.129608,0.244414
111,-44.9468168,-17.3533601,0.186729,0.197451
112,-46.5498488,-21.7951646,0.152648,0.201094
113,-45.9265651,-22.2483122,0.137703,0.230814
114,-44.0773107,-19.7609932,0.264089,0.136738
115,-42.2951545,-16.1636395,0.20637,0.163079
116,-44.2493905,-21.12234,0.235213,0.221595
117,-44.2297862,-19.4493869,0.206948,0.251539
118,-42.2277023,-15.8106787,0.0858,0.133246
119,-41.5045224,-17.8637422,0.29227,0.236546
120,-47.9493222,-19.757762,0.129357,0.249543
121,-48.2734953,-18.9209723,0.129822,0.291207
122,-46.8977031,-16.3722711,0.14669,0.164685
123,-45.4380356,-21.5613492,0.144796,0.225926
124,-55.2280019,-23.1155209,0.170484,0.158876
125,-51.0998784,-20.0833667,0.136843,0.195002
126,-55.7911585,-20.4734009,0.290933,0.138145
127,-56.4892463,-21.1226784,0.218318,0.164149
128,-54.6137673,-20.4790909,0.167333,0.18823
129,-57.6346059,-19.0242272,0.276688,0.190192
130,-53.1389178,-18.5395194,0.127764,0.222651
131,-54.74573,-18.514203,0.244365,0.127191
132,-54.7974591,-22.2351366,0.157932,0.240322
133,-56.1503439,-21.4790261,0.251925,0.173751
134,-55.1635619,-21.6204206,0.143872,0.193535
135,-51.1824422,-19.6803736,0.206502,0.199371
136,-55.7225905,-22.5362897,0.183274,0.21546
137,-51.7047943,-20.7898721,0.13112,0.261748
138,-56.078627,-9.8794219,0.199581,0.219587
139,-58.3444713,-15.4647661,0.134834,0.2118
140,-57.1909659,-15.0685786,0.223181,0.207602
141,-52.2781862,-15.8884818,0.276676,0.202494
142,-57.67868,-16.0780093,0.268454,0.156115
143,-55.1606624,-15.5524669,0.087878,0.235987
144,-56.0720511,-15.6158788,0.202865,0.244379
145,-54.9095191,-9.9521816,0.118639,0.223591
146,-58.7657954,-11.4275173,0.152098,0.154705
147,-55.9230401,-13.0772872,0.096424,0.205744
148,-58.0921237,-15.680945,0.147262,0.166571
149,-52.3558415,-14.6659919,0.209622,0.185679
150,-54.9911468,-10.2428156,0.15163,0.161433
151,-59.3305264,-15.2359052,0.137708,0.14558
152,-54.306183,-15.5455652,0.111335,0.230385
153,-54.6275948,-16.4628954,0.170762,0.234019
154,-58.1784479,-15.6256129,0.17763,0.114486
155,-55.512654,-11.8740586,0.124555,0.243991
156,-55.7335474,-12.5569273,0.118795,0.223888
157,-57.5013028,-14.6167904,0.149093,0.223437
158,-48.8742001,-1.7252778,0.281077,0.250684
159,-52.2238205,-3.1990613,0.132105,0.205139
160,-48.6151658,-1.5133467,0.281686,0.134192
161,-48.4191757,-1.3658422,0.2022,0.277075
162,-46.7736469,-1.0549764,0.242654,0.209415
163,-49.8556204,-6.5312688,0.098415,0.34677
164,-47.1761231,-1.1974843,0.230794,0.237206
165,-47.9170619,-1.2926249,0.15783,0.227471
166,-55.9990995,-4.2529278,0.193678,0.256179
167,-49.1105832,-4.4451173,0.183502,0.206516
168,-48.6948113,-1.5206713,0.310662,0.175373
169,-49.1087137,-5.358874,0.1857,0.241401
170,-47.3595755,-2.9941529,0.13712,0.248093
171,-49.8733471,-6.0744217,0.178796,0.275402
172,-50.0266354,-8.0411178,0.189338,0.208121
173,-48.0758433,-4.783026,0.153238,0.151842
174,-47.3445068,-0.6317756,0.234026,0.195543
175,-54.7204234,-2.4511781,0.235046,0.183242
176,-48.9502703,-2.9404971,0.153904,0.294436
177,-49.6787824,-3.7687845,0.242237,0.200938
178,-49.9438302,-7.1026906,0.210601,0.250777
179,-38.5563187,-6.8844735,0.122767,0.16581
180,-35.8974664,-7.236434,0.107784,0.241828
181,-35.4922329,-6.8531812,0.130292,0.131965
182,-34.8796745,-7.1128313,0.139231,0.267402
183,-37.2862311,-7.0320497,0.11426,0.207101
184,-38.2346334,-6.7664137,0.075967,0.26937
185,-40.4984204,-7.5738334,0.089617,0.193072
186,-37.060314,-8.4199975,0.091748,0.228471
187,-35.0099127,-8.2641182,0.165958,0.251434
188,-35.2493495,-7.8441003,0.153443,0.25101
189,-35.969988,-8.2815231,0.107244,0.234895
190,-35.5687268,-8.2029243,0.196486,0.237609
191,-34.9130662,-7.8456506,0.267453,0.215414
192,-34.8361485,-7.7646455,0.293223,0.198373
193,-35.4464711,-7.8793634,0.096209,0.267817
194,-40.2682708,-7.7615254,0.120398,0.177002
195,-34.8217504,-7.63941,0.215955,0.184929
196,-34.9337695,-8.0370481,0.215243,0.274567
197,-39.1302149,-8.0669743,0.125673,0.194093
198,-36.2038605,-7.9532158,0.05609,0.306974
199,-38.2949696,-7.9888133,0.104365,0.162922
200,-35.2929394,-8.111826,0.127896,0.172193
201,-44.3619762,-9.0683788,0.30013,0.196211
202,-45.1595445,-10.4406577,0.143133,0.198924
203,-43.0189593,-6.7710743,0.333155,0.169986
204,-41.748236,-2.9237016,0.209434,0.18713
205,-41.4446877,-7.0780667,0.116297,0.238263
206,-42.7818578,-5.1110158,0.217924,0.213538
207,-51.4515616,-23.5517281,0.209766,0.173035
208,-51.4337209,-23.4291163,0.139737,0.196837
