"","min","max","coef","pval","group","tag","character"
"UTC500",0.0191833357903746,0.0251061769175536,0.0221447563539641,1.2331481627275e-48,"A","1","lcz1"
"UTC5001",0.0308836883954253,0.0365620829935074,0.0337228856944664,7.19440607459845e-120,"B","1","lcz2"
"UTC5002",0.0263935070454236,0.0313914214519766,0.0288924642487001,1.10379136784554e-113,"C","1","lcz3"
"UTC5003",0.0315812420146838,0.0374178193518844,0.0344995306832841,9.15380473076897e-119,"D","1","lcz4"
"UTC5004",0.0253342440272352,0.0307877478551009,0.0280609959411681,1.80748038913235e-90,"E","1","lcz5 "
"UTC5005",0.0262395550983389,0.0304395129699357,0.0283395340341373,3.71123972281017e-154,"F","1","lcz6"
"UTC5006",0.0306238826650457,0.0367663792470301,0.0336951309560379,1.46848267586915e-102,"G","1","lcz7"
"UTC5007",0.0414370878743582,0.0466032326223942,0.0440201602483762,1.37254014131315e-244,"H","1","lcz8"
"UTC5008",0.0334523563392789,0.0393428400574633,0.0363975981983711,1.33904278461811e-129,"I","1","lcz9"
"UTC5009",0.0314476198760621,0.0375797788657314,0.0345136993708968,7.29522557387697e-108,"J","1","lcz10"
